"","phase","testBlock","testType","method"
"1","filter","filter","coordIssues","missing"
"2","filter","filter","coordIssues","invalCoord"
"3","filter","filter","coordIssues","zeroCoord"
"4","filter","filter","coordIssues","coordConv"
"5","filter","filter","duplicates","dupGrid"
"6","filter","filter","duplicates","dupExact"
"7","test","geo","countryStatusRange","wrongNTV"
"8","test","geo","countryStatusRange","wrongCTRY"
"9","test","geo","countryStatusRange","wrongINV"
"10","test","geo","centroidDetection","BIEN"
"11","test","geo","centroidDetection","CoordinateCleaner"
"12","test","lu","humanDetection","HumanInfluence"
"13","test","lu","humanDetection","UrbanAreas"
"14","test","lu","landUseType","wrongLU"
"15","test","lu","institutionLocality","fromBotanicLocalityName"
"16","test","lu","institutionLocality","fromCoordinates"
"17","test","geo","geoOutliers","alphaHull"
"18","test","geo","geoOutliers","distance"
"19","test","geo","geoOutliers","median"
"20","test","geo","geoOutliers","quantileSamplingCorr"
"21","test","geo","geoOutliers","Grubbs"
"22","test","geo","geoOutliers","Dixon"
"23","test","geo","geoOutliers","Rosner"
"24","test","geo","geoOutliers","mcp"
"25","test","env","envOutliers","missingEnv"
"26","test","env","envOutliers","bxp"
"27","test","env","envOutliers","Grubbs"
"28","test","env","envOutliers","Dixon"
"29","test","env","envOutliers","Rosner"
"30","test","geo","geoenvLowAccuracy","lattice"
"31","test","env","geoenvLowAccuracy","percDiffCell"
"32","test","geo","geoenvLowAccuracy","envDiff"
"33","test","geo","geoenvLowAccuracy","elevDiff"
"34","test","time","timeAccuracy","noDate"
"35","test","time","timeAccuracy","noDateFormatKnown"
"36","test","time","timeAccuracy","outDateRange"
